group,resource,prefix,constructor
admissionregistration.k8s.io,mutatingadmissionpolicies,/registry/admissionregistration.k8s.io/mutatingadmissionpolicies,mutatingadmissionpolicystorage.NewREST
admissionregistration.k8s.io,mutatingadmissionpolicybindings,/registry/admissionregistration.k8s.io/mutatingadmissionpolicybindings,mutationpolicybindingstorage.NewREST
certificates.k8s.io,certificatesigningrequests,/registry/certificates.k8s.io/certificatesigningrequests,certificatestore.NewREST
certificates.k8s.io,clustertrustbundles,/registry/certificates.k8s.io/clustertrustbundles,clustertrustbundlestore.NewREST
coordination.k8s.io,leases,/registry/coordination.k8s.io/leases,leasestorage.NewREST
coordination.k8s.io,leasecandidates,/registry/coordination.k8s.io/leasecandidates,leasecandidatestorage.NewREST
discovery.k8s.io,endpointslices,/registry/discovery.k8s.io/endpointslices,endpointslicestorage.NewREST
events.k8s.io,events,/registry/events.k8s.io/events,eventstore.NewREST
networking.k8s.io,networkpolicies,/registry/networking.k8s.io/networkpolicies,networkpolicystore.NewREST
networking.k8s.io,ingresses,/registry/networking.k8s.io/ingresses,ingressstore.NewREST
networking.k8s.io,ingressclasses,/registry/networking.k8s.io/ingressclasses,ingressclassstore.NewREST
networking.k8s.io,ipaddresses,/registry/networking.k8s.io/ipaddresses,ipaddressstore.NewREST
networking.k8s.io,servicecidrs,/registry/networking.k8s.io/servicecidrs,servicecidrstore.NewREST
node.k8s.io,runtimeclasses,/registry/node.k8s.io/runtimeclasses,runtimeclassstorage.NewREST
rbac.authorization.k8s.io,roles,/registry/rbac.authorization.k8s.io/roles,rolestore.NewREST
rbac.authorization.k8s.io,rolebindings,/registry/rbac.authorization.k8s.io/rolebindings,rolebindingstore.NewREST
rbac.authorization.k8s.io,clusterroles,/registry/rbac.authorization.k8s.io/clusterroles,clusterrolestore.NewREST
rbac.authorization.k8s.io,clusterrolebindings,/registry/rbac.authorization.k8s.io/clusterrolebindings,clusterrolebindingstore.NewREST
scheduling.k8s.io,priorityclasses,/registry/scheduling.k8s.io/priorityclasses,priorityclassstore.NewREST
storage.k8s.io,storageclasses,/registry/storage.k8s.io/storageclasses,storageclassstore.NewREST
storage.k8s.io,volumeattachments,/registry/storage.k8s.io/volumeattachments,volumeattachmentstore.NewStorage
storage.k8s.io,csinodes,/registry/storage.k8s.io/csinodes,csinodestore.NewStorage
storage.k8s.io,csidrivers,/registry/storage.k8s.io/csidrivers,csidriverstore.NewStorage
storage.k8s.io,csistoragecapacities,/registry/storage.k8s.io/csistoragecapacities,csistoragecapacitystore.NewStorage
storage.k8s.io,volumeattributesclasses,/registry/storage.k8s.io/volumeattributesclasses,volumeattributesclassstore.NewREST
resource.k8s.io,deviceclasses,/registry/resource.k8s.io/deviceclasses,deviceclassstore.NewREST
resource.k8s.io,resourceclaims,/registry/resource.k8s.io/resourceclaims,resourceclaimstore.NewREST
resource.k8s.io,resourceclaimtemplates,/registry/resource.k8s.io/resourceclaimtemplates,resourceclaimtemplatestore.NewREST
resource.k8s.io,resourceslices,/registry/resource.k8s.io/resourceslices,resourceslicestore.NewREST
resource.k8s.io,devicetaintrules,/registry/resource.k8s.io/devicetaintrules,devicetaintrulestore.NewREST
flowcontrol.apiserver.k8s.io,flowschemas,/registry/flowcontrol.apiserver.k8s.io/flowschemas,flowschemastore.NewREST
flowcontrol.apiserver.k8s.io,prioritylevelconfigurations,/registry/flowcontrol.apiserver.k8s.io/prioritylevelconfigurations,prioritylevelconfigurationstore.NewREST
internal.apiserver.k8s.io,storageversions,/registry/internal.apiserver.k8s.io/storageversions,storageversionstorage.NewREST
storagemigration.k8s.io,storageversionmigrations,/registry/storagemigration.k8s.io/storageversionmigrations,storagemigrationstore.NewREST
apiregistration.k8s.io,apiservices,/registry/apiregistration.k8s.io/apiservices,apiservicestorage.NewREST
policy,poddisruptionbudgets,/registry/policy/poddisruptionbudgets,poddisruptionbudgetstore.NewREST
